facility_name,facility_state,facility_address,facility_city,facility_zip,facility_phone_number,facility_extra_info
Countryside Hospice Care,Alabama,"1021 Noble Street, Suite 207",Anniston,36201,619-640-2958,""
Countryside Hospice Care,Alabama,"1021 Noble Street, Suite 107",Anniston,36201,334-222-7048,""
Gentiva Health Services,Alabama,1328 Greenbrier-Dear Road,Anniston,36207,256-835-7101,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Advantage Living Assistance,Alabama,1414 Golden Springs Road #230,Anniston,36207,256-403-1943,Services: Private Duty Home Care and Home Care
New Beacon of Anniston Hospice,Alabama,"818 Leighton Avenue, Suite A",Anniston,36207,256-236-5334,""
Northeast Alabama Regional Medical Center. Home Health Department,Alabama,"400 East Tenth Street, PO Box 2208",Anniston,36202,256-235-5785,""
Atrion Medical,Alabama,1426 Curt Francis Road,Arab,35016,"",""
Clay County Department of Human Resources,Alabama,PO Box 940,Ashland,36251,256-354-2552,""
Clay County Hospital Home Care,Alabama,83825 HIGHWAY 9,Ashland,36251,256-354-0077,"Services: Home Care, Home Health Aid, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
St. Clair County Home Health,Alabama,"411 North Gadsden Highway, PO Box 249",Ashville,35953,205-594-7944,""
Athens-Limestone Homecare,Alabama,"725 West Market Street, Suite A",Athens,35611,256-233-9533,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Hospice of Limestone County,Alabama,405 South Marion Street,Athens,35611,205-232-5017,""
Limestone County Department of Human Resources,Alabama,PO Box 830,Athens,35612,256-232-4120,""
Limestone County Home Care,Alabama,20371 Clyde Mabry Drive,Athens,35611,256-230-0434,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Mid-South Home Health Agency. - Florence,Alabama,"905 South Clinton Street, Unit A",Athens,35611,256-232-9180,""
Atmore Community Home Care,Alabama,"121 Lindberg Avenue, Suite C",Atmore,36502,251-368-6286,"Services: Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Atmore Community Hospital Home Health Services,Alabama,"121 Lindberg Avenue, #C",Atmore,36502,251-368-2500,""
Gadsden Regional Medical Center Home Health and Hospice,Alabama,PO Box 250,Attalla,35954,256-538-2273,Services: Home Care
Homecare Of East Alabama Medical Center,Alabama,"665 OPELIKA ROAD, SUITE 300",Auburn,36830,334-826-3131,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amedisys Home Health of Bay Minette,Alabama,107 North Hoyle Ave.,Bay Minette,36507,251-580-8236,Services: Home Care
North Baldwin Home Health,Alabama,157A North Hoyle Avenue,Bay Minette,36507,251-580-0686,""
Intrepid USA Health Care,Alabama,"3603 Pine Lane Southeast, #A",Bessemer,35022,205-426-9250,""
Jefferson County Home Care,Alabama,2201 Arlington Avenue,Bessemer,35020,205-916-9500,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
UAB Medical West Hospice,Alabama,"995 9th Avenue, SW, PO Box 847",Bessemer,35021,205-481-7202,""
Affinity Home Hospice Services,Alabama,"216 Aquarius Drive, Suite 315",Birmingham,35209,205-949-0400,Services: Hospice
Alacare Home Health & Hospice,Alabama,2970 LORNA ROAD,Birmingham,35216,205-824-2680,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alacare Home Health and Hospice,Alabama,2400 John Hawkins Parkway,Birmingham,35244,205-981-8888,"Services: Hospice, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Always Best Care Birmingham,Alabama,2842 Hastings Road,Birmingham,35223,205-908-7874,"Services: Home Care, Home Health Aid, and Nursing Care"
Always There in-Home Care,Alabama,"3021 Lorna Road, Suite 100",Birmingham,35216,205-824-0224,Services: Private Duty Home Care
Amedisys Home Health of Birmingham,Alabama,"2204 Lakeshore Drive, Suite 110",Birmingham,35209,205-868-0147,Services: Home Care
AMI/Brookwood Hospice Services,Alabama,2010 Brookwood Medical Ctr. Dr,Birmingham,35209,205-877-1150,""
Augmentation,Alabama,PO Box 59327,Birmingham,35259,205-870-1675,""
Baptist Health System,Alabama,PO Box 13128,Birmingham,35202,205-715-5197,""
Baptist Home Care Services,Alabama,701 Princeton Avenue SW,Birmingham,35211,205-783-7900,""
Birmingham Area Hospice,Alabama,"1400 Sixth Avenue South, PO Box 2648",Birmingham,35202,205-930-1330,""
Brookwood Hospice,Alabama,2010 Brookwood Medical Cnt Dr,Birmingham,35209,205-877-1150,""
Cahaba Government Benefit Administrators,Alabama,300 Corporate Parkway,Birmingham,35242,205-220-1214,""
Care First,Alabama,"216 Aquarius Drive, Suite 322",Birmingham,35209,205-313-2800,""
Care Plus Home Health Services of Middle Tennessee,Alabama,PO Box 380995,Birmingham,35238,931-473-3280,""
Coram Health Care of Alabama,Alabama,"400 River Hills Bus. Park, Suite 435",Birmingham,35242,205-995-8117,""
Durable Medical Equipment County,Alabama,3600 Fifth Avenue South,Birmingham,35222,855-757-9233,""
Evercare Hospice and Palliative Care,Alabama,"33 Inverness Center Parkway, Ste 350",Birmingham,35242,251-665-1093,""
"First Choice HomeCare Services, LLC",Alabama,"2160 Highland Avenue South, Suite 100",Birmingham,35205,205-313-4785,Services: Private Duty Home Care and Home Care
FirstLight HomeCare Birmingham,Alabama,2229 First Ave North,Birmingham,35203,205-224-0400,"Services: Hospice, Home Care, and Home Health Aid"
Gentiva Health Services,Alabama,"2200 Riverchase Parkway, Building 700",Birmingham,35244,205-739-7800,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Gentiva Health Services,Alabama,1108 East Park Drive,Birmingham,35235,205-836-0777,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Health South,Alabama,"3660 Grandview Parkway, Suite 200",Birmingham,35243,205-970-7816,Services: Hospice and Home Care
HealthForce - Birmingham,Alabama,"117 South Crest Drive, Suite 203",Birmingham,35209,205-942-5996,""
Holistic Health Care,Alabama,"110 12th Street North, Suite A 107",Birmingham,35203,205-314-3420,""
"Home Care Assistance Of Alabama, LLC",Alabama,610 Inverness Corners,Birmingham,35242,205-981-2484,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, and Nursing Care"
Home Care Associates,Alabama,210 Lorna Square,Birmingham,35216,205-206-9594,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Home Care Plus,Alabama,3950 Autumn Lane,Birmingham,35243,205-298-9886,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Homedco,Alabama,"100 Oxmoor Road, Suite 104",Birmingham,35209,205-942-4702,""
Hope Hospice,Alabama,"1100 East Park Drive, Suite 303",Birmingham,35235,205-502-4673,""
Hospice Compassus - Birmingham,Alabama,"3500 Blue Lake Drive, Suite 270",Birmingham,35243,205-970-8888,""
Hospice Services of Alabama,Alabama,"1000 Southlake Park, Suite 100",Birmingham,35244,205-682-9996,"Services: Hospice, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Intrepid Usa Health Care Services,Alabama,"200 Century Park South, Suite 116",Birmingham,35226,205-877-3403,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Jefferson County Department of Health,Alabama,"1400 Sixth Avenue, South, PO Box 2648",Birmingham,35233,205-930-1510,""
John Deo,Alabama,5291 Valleydale Rd,Birmingham,35242,205-438-6925,Services: Home Care and Nursing Care
Kindred Care Hospice,Alabama,2153 Riverchase Office Road,Birmingham,35236,205-380-1023,""
"Making Everyday Special, LLC",Alabama,115 Haversham Dr,Birmingham,35215,855-853-0024,Services: Private Duty Home Care and Home Care
Maxim Health Care Services,Alabama,"601 Beacon Parkway West, Suite 201",Birmingham,35209,205-916-0044,Services: Home Care
Med-South,Alabama,410 10th Avenue South,Birmingham,35205,855-757-9233,""
Mid-South Home Health Agency. - Birmingham,Alabama,"2200 Riverchase Center, Suite 700",Birmingham,35244,205-823-4957,""
"Midsouth Home Health, a Gentiva Company",Alabama,919 Medical Center Drive,Birmingham,35022,205-945-4859,""
New Beacon of Birmingham,Alabama,"201 Office Park Drive, Suite 100",Birmingham,35223,205-939-8799,""
Nursefinders,Alabama,"1025 Montgomery Hwy, Suite 213",Birmingham,35216,205-871-4144,""
Odyssey Health Care Birmingham,Alabama,"210 B Southbridge Parkway, Suite 250",Birmingham,35209,205-870-4340,""
Regency Health Care Group,Alabama,"2550 Acton Road, Suite 110",Birmingham,35243,205-939-8760,""
Right At Home,Alabama,"1446 Montgomery Highway, Suite B",Birmingham,35216,205-460-1062,"Services: Private Duty Home Care, Home Care, Home Health Aid, Occupational Therapy, Physical Therapy, and Speech Pathology"
SouthernCare Birmingham,Alabama,"2204 Lakeshore Drive, Suite 475",Birmingham,35209,205-854-7252,""
St Vincent's East Home Health,Alabama,"1400 Urban Center Drive, Suite 240",Birmingham,35242,205-313-2800,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St Vincent's Home Health Of Jefferson County,Alabama,"1400 Urban Center Drive, Suite 240",Birmingham,35242,205-313-2800,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St. Martin's in the Pines,Alabama,4941 Montevallo Road,Birmingham,35210,205-314-4113,""
St. Martins Home Health,Alabama,"1900 Crestwood Boulevard, #95",Birmingham,35210,205-930-0720,""
Star Health Services,Alabama,1621 First Place South,Birmingham,35205,205-251-1300,""
VA Medical Center,Alabama,"700 Ninteenth Street, South",Birmingham,35233,205-933-8107,""
Wiregrass Hospice Birmingham,Alabama,2084 Valleydale Road,Birmingham,35244,205-934-1932,""
DataHouse,Alabama,1 Perimeter Park South,Birminham,35243,"",""
Amedisys Home Health,Alabama,68278 MAIN STREET,Blountsville,35031,205-429-4919,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amedisys Home Health Of Brewton,Alabama,2554 Douglas Avenue,Brewton,36426,251-809-1717,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Comfort Care Hospice of Brewton,Alabama,722 Douglas Avenue,Brewton,36426,251-867-6232,""
Covenant Hospice of South Central Alabama,Alabama,"1023 Douglas Avenue, Suite 204",Brewton,36426,334-427-0775,""
D W Mcmillan Home Health,Alabama,114 W Jackson Street,Brewton,36426,251-867-5054,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Escambia County Department of Human Resources,Alabama,PO Box 868,Brewton,36427,205-867-5472,""
Alpha Omega Hospice,Alabama,PO Box 553,Butler,36904,205-459-3917,""
Choctaw County Department of Human Resources,Alabama,PO Box 687,Butler,36904,205-459-2404,""
Choctaw County Home Health,Alabama,1001 South Mulberry Avenue,Butler,36904,205-459-4013,""
Homecare Plus,Alabama,3950 Autumn Lane,Cahaba Heights,35243,205-298-9886,Services: Home Care
Alabama Homecare,Alabama,319a Mcwilliams Avenue,Camden,36726,334-682-9050,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Homecare Equipment & Supplies,Alabama,1344 River Bluff Drive,Camden,36726,"",""
Hometown Hospice of Camden,Alabama,221 Claiborne Street,Camden,36726,334-682-4400,""
Wilcox County Health Department,Alabama,107 Union Street,Camden,36726,334-682-4515,""
Medical Center Home Health,Alabama,194 William E Hill Drive,Carrollton,35447,205-367-8111,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Pickens County Department of Human Resources,Alabama,401 Tuscaloosa Avenue,Carrollton,35447,205-367-8186,""
Pickens County Health Department Home Health,Alabama,PO Box 192,Carrollton,35447,205-367-2299,""
Bibb Medical Center Home Health,Alabama,142 Pierson Avenue,Centerville,35042,205-926-3211,""
Cherokee Community Home Health,Alabama,775 Cherokee Plaza,Centre,35961,256-927-1144,Services: Hospice and Home Care
Cherokee County Health Department,Alabama,833 Cedar Bluff Road,Centre,35960,256-927-3132,""
Cherokee Home Health,Alabama,"704 Cherokee Plaza, Suite 9",Centre,35960,256-927-1144,"Services: Hospice, Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Prohealth Of Northeast Alabama,Alabama,"1496 Chestnut Byp, Unit D",Centre,35960,205-383-3538,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Bibb County Department of Human Resources,Alabama,PO Box 97,Centreville,35042,205-926-4856,""
Cv Home Health Of Bibb County,Alabama,142 Pierson Avenue,Centreville,35042,205-926-3211,"Services: Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Washington County Department of Human Resources,Alabama,PO Box 600,Chatom,36518,205-847-2248,""
Washington County Home Care,Alabama,14900 Saint Stephens Avenue,Chatom,36518,251-847-2257,"Services: Home Health Aid, Medical Social, Medicare, and Nursing Care"
Faith Hospice,Alabama,"Pmb 210, 60 Chelsea Cors",Chelsea,35043,256-215-6006,""
Amedisys Home Health Of Citronelle,Alabama,"19375 NORTH 3RD STREET, SUITE 101",Citronelle,36522,251-866-3261,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alacare Home Health and Hospice,Alabama,206 Medical Center Drive,Clanton,35045,205-755-6955,""
Chilton County Department of Human Resources,Alabama,PO Box 1699,Clanton,35046,205-755-3250,""
Chilton County Health Department. Home Health,Alabama,"605 First Avenue North, PO Box 1778",Clanton,35045,205-755-8407,""
Chilton Medical Center,Alabama,PO Box 1920,Clanton,35046,205-280-4663,""
Gentiva Health Services,Alabama,118 6th Street South,Clanton,35045,205-755-9926,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
SouthernCare Clanton,Alabama,"1622 7th Street North, Suite 134",Clanton,35045,205-280-3793,""
Suncrest Home Health,Alabama,222 7th Street South,Clanton,35045,205-280-4663,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Barbour County Department of Human Resources,Alabama,PO Box 547,Clayton,36016,205-775-3280,""
Barbour County Home Care,Alabama,39 Browder Street,Clayton,36016,334-775-9044,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Barbour County Home Health,Alabama,"173 North Midway Street, PO Box 217",Clayton,36016,334-775-9044,""
Shelby County Department of Human Resources,Alabama,PO Box 1096,Columbiana,35051,205-669-3000,""
Stability Home Care,Alabama,217 Amory Ave.,Cordova,35550,205-435-0185,""
Stability Home Care,Alabama,217 Amory Ave.,Cordova,35550,205-435-0185,Services: Home Care
Alabama HomeCare of Cullman,Alabama,"3259 AL Hwy. 157, Suite D",Cullman,35058,256-775-7911,""
Alacare Home Health and Hospice,Alabama,"407 4th Avenue, SW",Cullman,35055,256-739-9016,""
Comfort Care Hospice of Cullman,Alabama,401 Arnold Street NW,Cullman,35055,256-739-4409,""
Cullman County Home Care,Alabama,601 Logan Avenue Sw,Cullman,35055,256-734-0258,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Cullman County Home Care,Alabama,"601 Logan Avenue SW, PO Box 1086",Cullman,35056,205-734-0258,""
Cullman Regional Medical Center Home Care Services,Alabama,1792 ALABAMA HWY 157 NE,Cullman,35058,256-737-2831,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
"Elder Care Of North Alabama, LLC",Alabama,1528 Peach Tree Lane NW,Cullman,35058,256-727-5312,"Services: Private Duty Home Care, Home Care, and Nursing Care"
Gentiva Health Services,Alabama,"1015 1ST STREET, SW, SUITE A",Cullman,35055,256-739-2992,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Life Care Hospice,Alabama,2108 Alabama Highway 157,Cullman,35058,256-734-1170,""
NARE,Alabama,1871 Alabama Highway 157,Cullman,35058,"",""
Omega Hospice of Cullman,Alabama,973 County Road 1435 NE,Cullman,35056,256-737-1793,""
Oxford Health Care,Alabama,310 Graham Street SW,Cullman,35055,256-775-6655,""
Woodland Home Health Services Crmc,Alabama,1910 Cherokee Avenue Sw,Cullman,35055,256-841-4443,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lake Martin Home Health,Alabama,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",Dadeville,36853,256-825-7050,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lake Martin Hospice,Alabama,201 Mariarden Drive,Dadeville,36853,256-825-7821,""
Tallpoosa County Department of Human Resources,Alabama,"353 North Broadway Street, PO Box 100",Dadeville,36853,256-825-4296,""
Unity Health Management Services,Alabama,210 Mariarden Road,Dadeville,36853,256-825-7050,""
Amedisys,Alabama,29860 Jason Malbis Blvd,Daphne,36526,251-377-2487,""
Covenant Hospice,Alabama,"1040 Stanton Road, Suite D",Daphne,36526,251-626-5255,""
FirstLight HomeCare Mobile,Alabama,"1203 Hwy 98, Suite 2D & 2E",Daphne,36526,251-206-5200,"Services: Hospice, Home Care, and Home Health Aid"
Kindred At Home,Alabama,"9037 Independence Avenue, Suite B",Daphne,36526,251-621-0882,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Mercy Home Care,Alabama,"101 Villa Drive, PO Box 1090",Daphne,36526,251-621-4288,""
SouthernCare Mobile,Alabama,"26179 Capital Drive, Suite A",Daphne,36526,251-479-4020,""
AAA Pure Heart Home Care,Alabama,107 14th St SW,Decatur,35601,256-560-8353,Services: Home Care and Home Health Aid
Alabama Home Care Specialists,Alabama,P.O. Box 116,Decatur,35601,256-642-3843,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Alacare Home Health & Hospice,Alabama,"1690 Beltline Road, Ste B",Decatur,35601,256-355-5746,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
AseraCare Hospice,Alabama,"219 East Moulton Street, P.O. Box 1265",Decatur,35601,877-350-8688,Services: Hospice
Decatur Morgan Homecare,Alabama,"2708 HIGHWAY 31 SOUTH, SUITE B",Decatur,35603,256-350-4182,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
HGA Health Group of Alabama,Alabama,"1223 Stratford Road SE, Suite B",Decatur,35601,256-350-4182,""
Hospice of the Valley,Alabama,"216 Johnston Street, PO Box 2745",Decatur,35602,256-350-5585,""
Morgan County Home Care Agency,Alabama,"201 GORDON DRIVE SE, SUITE 107",Decatur,35601,256-306-2400,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Personal Touch Health Care,Alabama,"805 Sixth Avenue, SE",Decatur,35601,256-350-4782,""
Southern Rural Health Care - Morgan Branch,Alabama,"1304 13th Avenue SE, Suite A",Decatur,35601,256-353-0877,""
Woodland Home Health,Alabama,1874 Beltline Road SW,Decatur,35601,256-775-7400,Services: Home Care
Amedisys Home Care,Alabama,1050 Bailey Drive,Demopolis,36732,334-289-5030,Services: Home Care
Bryan W. Whitfield Memorial Hospital Home Health,Alabama,105 HIGHWAY 80 EAST,Demopolis,36732,334-289-0701,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Bryan W. Whitfield Memorial Hospital Home Health,Alabama,PO Box 890,Demopolis,36732,334-289-0701,""
Comfort Care Hospice,Alabama,1060 Bailey Drive,Demopolis,36732,334-289-2106,""
Oxford Health Care,Alabama,1060 Bailey Drive,Demopolis,36732,888-285-2531,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
SouthernCare Hospice,Alabama,927 US Highway 80 W,Demopolis,36732,205-372-3122,""
Agape Home Health Care,Alabama,2141 Denton Rd,Dothan,36303,334-669-1069,Services: Home Care and Home Health Aid
Alacare Home Health and Hospice,Alabama,3379 West Main Street,Dothan,36305,334-673-2126,""
Amedisys Home Health,Alabama,2560 COUNTY ROAD 112,Dothan,36303,334-774-0370,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Breathing Care Associates,Alabama,PO Box 1964,Dothan,36302,"",""
CareSouth - Dothan Division,Alabama,"205 Graceland Drive, Suite 3",Dothan,36305,800-241-3363,Services: Home Care
Covenant Hospice,Alabama,104 Rock Bridge Road,Dothan,36303,334-794-7847,""
Encompass Home Health Of Alabama,Alabama,"205 Graceland Drive, Suite 3",Dothan,36305,334-793-5758,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Gentiva Health Services,Alabama,2740 Headland Ave,Dothan,36303,334-944-2290,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Houston County Department of Human Resources,Alabama,PO Box 2027,Dothan,36302,205-677-0400,""
Houston County Home Care,Alabama,1781 E Cottonwood Road,Dothan,36302,334-678-2805,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Southeast Alabama Homecare,Alabama,2841 Montgomery Highway,Dothan,36301,334-794-0591,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
SouthernCare Dothan,Alabama,"2576 Montgomery Highway, Ste 2",Dothan,36303,334-673-9300,""
Wiregrass Hospice Enterprise,Alabama,P.O. Box Drawer 2127,Dothan,36302,334-347-3353,""
Winston County Department of Human Resources,Alabama,PO Box 116,Double Springs,35553,205-489-5101,""
Winston County Home Care,Alabama,110 Legion Road,Double Springs,35553,205-486-3159,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
First Choice Hospice-Ozark,Alabama,PO Box 476,Elba,36323,334-897-0650,""
"CareSouth Health System, Inc.",Alabama,"5 North Pointe Pkwy., Ste. D",Enterprise,36330,334-393-9810,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Coffee County Home Care,Alabama,2841 Neal Metcalf Road,Enterprise,36330,334-347-9576,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Day Spring Hospice,Alabama,201 West Lee Street,Enterprise,36330,334-347-2999,"Services: Home Health Aid, Hospice, Medical Social, and Nursing Care"
Gentiva Health Services,Alabama,1239 Rucker Blvd,Enterprise,36330,334-347-0234,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Home Care Services of Enterprise,Alabama,"557 Glover Avenue, Suite 5",Enterprise,36330,334-347-0234,""
Southeast Alabama Homecare,Alabama,804 Glover Avenue,Enterprise,36330,334-794-0591,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Barbour City Health Department Home Health Care,Alabama,634 School Street,Eufaula,36027,334-687-4808,""
"CareSouth Health System, Inc.",Alabama,"828 West Washington Street, Suite 5",Eufaula,36027,866-687-2271,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Care Services of Eufaula,Alabama,335 Macon Avenue,Eufaula,36027,334-687-7641,""
Lakeview Community Hospital Home Care,Alabama,820 West Washington Street,Eufaula,36027,334-688-7188,""
Southeast Alabama HomeCare of Eufaula,Alabama,820 West Washington,Eufaula,36027,334-687-6476,""
Wiregrass Hospice Eufaula,Alabama,831 West Washington Street,Eufaula,36027,334-794-9101,""
Alabama Homecare,Alabama,"607 Wilson Avenue, Suite 3",Eutaw,35462,205-372-3399,"Services: Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Alabama HomeCare,Alabama,"607 Wilson Ave., Suite 3",Eutaw,35462,205-372-3399,""
Greene County Department of Human Resources,Alabama,"250 Prairie Avenue, PO Box 311",Eutaw,35462,205-372-3431,""
Conecuh County Department of Human Resources,Alabama,PO Box 565,Evergreen,36401,205-578-1690,""
Conecuh County Home Care,Alabama,102 Wild Avenue,Evergreen,36401,251-578-5265,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Evergreen Home Care,Alabama,308 South Main Street,Evergreen,36401,251-578-6800,"Services: Home Health Aid, Medicare, and Nursing Care"
Comfort Care Coastal Home Health,Alabama,1390 North Mckenzie Street,Fairhope,36532,251-621-4431,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Prohealth-Gulf Coast,Alabama,105b Lottie Lane,Fairhope,36532,866-330-0609,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
